Date and UTC Time,MMSI,Lat,Lon,SOG,HDG,COG,ROT
03-08-19 06:23:09, 367440770, 50.876423, -1.303373, 0.0, 257.0, 204.6, 0.0
03-08-19 06:26:11, 367440770, 50.876407, -1.303362, 0.0, 257.0, 204.6, 0.0
03-08-19 06:29:08, 367440770, 50.876433, -1.303365, 0.0, 257.0, 204.6, 0.0
03-08-19 06:32:08, 367440770, 50.876417, -1.303360, 0.0, 258.0, 204.6, 0.0
03-08-19 06:35:08, 367440770, 50.876423, -1.303370, 0.0, 258.0, 204.6, 0.0
03-08-19 06:38:08, 367440770, 50.876423, -1.303357, 0.0, 258.0, 204.6, 0.0
03-08-19 06:44:09, 367440770, 50.876423, -1.303350, 0.0, 258.0, 204.6, 0.0
03-08-19 06:47:09, 367440770, 50.876417, -1.303357, 0.0, 258.0, 204.6, 0.0
03-08-19 06:50:10, 367440770, 50.876423, -1.303372, 0.0, 258.0, 204.6, 0.0
03-08-19 06:53:08, 367440770, 50.876417, -1.303357, 0.0, 258.0, 204.6, 0.0
03-08-19 06:56:08, 367440770, 50.876440, -1.303378, 0.0, 258.0, 204.6, 0.0
03-08-19 06:59:08, 367440770, 50.876417, -1.303357, 0.0, 258.0, 204.6, 0.0
03-08-19 07:05:08, 367440770, 50.876433, -1.303363, 0.0, 257.0, 204.6, 0.0
03-08-19 07:08:08, 367440770, 50.876433, -1.303358, 0.0, 257.0, 204.6, 0.0
03-08-19 07:14:09, 367440770, 50.876423, -1.303367, 0.0, 257.0, 204.6, 0.0
03-08-19 07:17:08, 367440770, 50.876423, -1.303363, 0.0, 257.0, 204.6, 0.0
03-08-19 07:23:12, 367440770, 50.876433, -1.303370, 0.0, 257.0, 218.8, 0.0
03-08-19 07:26:08, 367440770, 50.876417, -1.303367, 0.0, 257.0, 218.8, 0.0
03-08-19 07:27:53, 250004806, 50.860570, -1.312390, 0.0, 38.3, 38.3, 0.0
03-08-19 07:29:08, 367440770, 50.876423, -1.303347, 0.0, 257.0, 218.8, 0.0
03-08-19 07:32:09, 367440770, 50.876417, -1.303373, 0.0, 256.0, 218.8, 0.0
03-08-19 07:33:52, 250004806, 50.860573, -1.312393, 0.0, 38.3, 38.3, 0.0
03-08-19 07:35:08, 367440770, 50.876423, -1.303363, 0.0, 257.0, 218.8, 0.0
03-08-19 07:36:53, 250004806, 50.860578, -1.312392, 0.0, 38.3, 38.3, 0.0
03-08-19 07:38:08, 367440770, 50.876407, -1.303335, 0.0, 256.0, 218.8, 0.0
03-08-19 07:41:08, 367440770, 50.876423, -1.303348, 0.0, 256.0, 218.8, 0.0
03-08-19 07:44:08, 367440770, 50.876417, -1.303373, 0.0, 256.0, 218.8, 0.0
03-08-19 07:47:10, 367440770, 50.876423, -1.303347, 0.0, 256.0, 218.8, 0.0
03-08-19 07:48:53, 250004806, 50.860582, -1.312395, 0.0, 38.3, 38.3, 0.0
03-08-19 07:50:08, 367440770, 50.876440, -1.303340, 0.0, 255.0, 218.8, 0.0
03-08-19 07:51:54, 250004806, 50.860580, -1.312390, 0.0, 38.3, 38.3, 0.0
03-08-19 07:53:09, 367440770, 50.876423, -1.303350, 0.0, 255.0, 218.8, 0.0
03-08-19 07:54:54, 250004806, 50.860583, -1.312380, 0.0, 38.3, 38.3, 0.0
03-08-19 07:56:08, 367440770, 50.876423, -1.303340, 0.0, 255.0, 218.8, 0.0
03-08-19 08:00:52, 250004806, 50.860585, -1.312380, 0.0, 38.3, 38.3, 0.0
03-08-19 08:02:11, 367440770, 50.876423, -1.303365, 0.0, 255.0, 218.8, 0.0
03-08-19 08:03:53, 250004806, 50.860585, -1.312380, 0.0, 38.3, 38.3, 0.0
03-08-19 08:05:08, 367440770, 50.876417, -1.303363, 0.0, 254.0, 218.8, 0.0
03-08-19 08:06:54, 250004806, 50.860587, -1.312380, 0.0, 38.3, 38.3, 0.0
03-08-19 08:08:08, 367440770, 50.876417, -1.303383, 0.0, 255.0, 218.8, 0.0
03-08-19 08:09:52, 250004806, 50.860585, -1.312385, 0.0, 38.3, 38.3, 0.0
03-08-19 08:11:08, 367440770, 50.876423, -1.303363, 0.0, 255.0, 218.8, 0.0
03-08-19 08:12:53, 250004806, 50.860585, -1.312390, 0.0, 38.3, 38.3, 0.0
03-08-19 08:14:09, 367440770, 50.876417, -1.303365, 0.0, 255.0, 218.8, 0.0
03-08-19 08:17:08, 367440770, 50.876417, -1.303372, 0.0, 254.0, 218.8, 0.0
03-08-19 08:18:53, 250004806, 50.860580, -1.312405, 0.0, 38.3, 38.3, 0.0
03-08-19 08:20:09, 367440770, 50.876417, -1.303347, 0.0, 254.0, 218.8, 0.0
03-08-19 08:21:52, 250004806, 50.860578, -1.312405, 0.0, 38.3, 38.3, 0.0
03-08-19 08:23:08, 367440770, 50.876417, -1.303370, 0.0, 254.0, 218.8, 0.0
03-08-19 08:26:10, 367440770, 50.876417, -1.303368, 0.0, 254.0, 218.8, 0.0
03-08-19 08:29:10, 367440770, 50.876417, -1.303360, 0.0, 254.0, 218.8, 0.0
03-08-19 08:32:08, 367440770, 50.876407, -1.303357, 0.0, 254.0, 218.8, 0.0
03-08-19 08:35:08, 367440770, 50.876417, -1.303358, 0.0, 254.0, 218.8, 0.0
03-08-19 08:38:10, 367440770, 50.876417, -1.303368, 0.1, 253.0, 218.8, 0.0
03-08-19 08:41:09, 367440770, 50.876417, -1.303343, 0.0, 253.0, 218.8, 0.0
03-08-19 08:44:09, 367440770, 50.876423, -1.303388, 0.0, 253.0, 218.8, 0.0
03-08-19 08:47:08, 367440770, 50.876407, -1.303362, 0.0, 254.0, 283.1, 0.0
03-08-19 08:50:08, 367440770, 50.876417, -1.303363, 0.0, 254.0, 283.1, 0.0
03-08-19 08:53:08, 367440770, 50.876417, -1.303375, 0.0, 253.0, 283.1, 0.0
03-08-19 08:56:09, 367440770, 50.876400, -1.303358, 0.0, 254.0, 283.1, 0.0
03-08-19 08:59:09, 367440770, 50.876390, -1.303347, 0.0, 254.0, 283.1, 0.0
03-08-19 09:02:11, 367440770, 50.876417, -1.303375, 0.0, 253.0, 283.1, 0.0
03-08-19 09:05:09, 367440770, 50.876400, -1.303362, 0.0, 254.0, 283.1, 0.0
03-08-19 09:08:08, 367440770, 50.876423, -1.303380, 0.0, 254.0, 283.1, 0.0
03-08-19 09:11:08, 367440770, 50.876417, -1.303360, 0.0, 254.0, 283.1, 0.0
03-08-19 09:13:31, 250004806, 50.860558, -1.312445, 0.0, 149.4, 149.4, 0.0
03-08-19 09:14:08, 367440770, 50.876423, -1.303378, 0.0, 255.0, 283.1, 0.0
03-08-19 09:16:01, 250004806, 50.860388, -1.311227, 3.3, 182.4, 182.4, 0.0
